Ingredients_Allergy_ID,Ingredients_Code,Allergy_Code,Product_Check
0,I00000,A04,1
1,I00000,A03,1
2,I00000,A01,1
3,I00000,A17,1
4,I00000,A14,1
5,I00000,A10,1
6,I00001,A14,1
7,I00001,A16,1
8,I00001,A01,1
9,I00001,A17,1
10,I00001,A02,1
11,I00001,A09,1
13,I00003,,1
16,I00006,A10,1
17,I00007,A10,1
20,I00010,,1
21,I00011,,1
22,I00012,A10,1
23,I00012,A14,1
24,I00013,A10,1
25,I00013,A17,1
26,I00013,A14,1
27,I00014,A17,1
28,I00014,A14,1
29,I00014,A10,1
30,I00014,A01,1
31,I00015,A17,1
32,I00015,A14,1
33,I00015,A10,1
34,I00015,A01,1
36,I00017,A06,1
38,I00019,,1
39,I00020,,1
40,I00021,A14,1
42,I00023,A04,1
43,I00023,A17,1
44,I00023,A14,1
45,I00023,A10,1
46,I00023,A02,1
47,I00024,A10,1
48,I00024,A14,1
49,I00024,A17,1
50,I00024,A04,1
51,I00024,A02,1
52,I00025,A17,1
54,I00027,,1
55,I00028,A02,1
56,I00028,A10,1
57,I00028,A14,1
58,I00028,A17,1
59,I00028,A16,1
60,I00028,A04,1
61,I00028,A09,1
64,I00031,A17,1
66,I00033,A17,1
67,I00033,A10,1
68,I00033,A02,1
69,I00033,A04,1
70,I00033,A14,1
71,I00034,A10,1
72,I00035,A14,1
73,I00035,A17,1
74,I00035,A02,1
75,I00035,A09,1
78,I00038,A09,1
83,I00043,,1
84,I00044,A14,1
85,I00044,A17,1
86,I00044,A05,1
91,I00049,A14,1
92,I00049,A17,1
93,I00050,C17,1
97,I00054,A10,1
100,I00057,C28,1
102,I00059,,1
103,I00060,A14,1
104,I00060,A17,1
106,I00062,A17,1
110,I00066,C17,1
111,I00067,A14,1
112,I00067,A17,1
113,I00068,A14,1
114,I00068,A17,1
115,I00069,A03,1
116,I00069,A14,1
118,I00071,A17,1
119,I00072,,1
121,I00074,A06,1
122,I00075,A03,1
123,I00075,A14,1
124,I00075,A17,1
139,I00089,C04,1
142,I00092,A06,1
143,I00092,A05,1
144,I00092,A14,1
145,I00092,A17,1
146,I00093,A14,1
147,I00093,A17,1
148,I00094,A05,1
149,I00094,A14,1
150,I00094,A17,1
151,I00095,A17,1
152,I00095,A14,1
153,I00095,A10,1
154,I00095,A02,1
155,I00096,A01,1
156,I00096,A14,1
157,I00096,A16,1
158,I00096,A04,1
159,I00096,A02,1
160,I00096,A17,1
161,I00096,A08,1
162,I00096,A10,1
163,I00096,A09,1
164,I00097,A14,1
165,I00097,A17,1
166,I00098,A14,1
167,I00098,A17,1
168,I00099,A14,1
169,I00099,A17,1
170,I00100,A14,1
171,I00100,A17,1
172,I00100,A09,1
173,I00101,A14,1
174,I00101,A17,1
176,I00103,A14,1
177,I00103,A17,1
178,I00103,A10,1
179,I00103,A03,1
180,I00103,A02,1
185,I00108,A17,1
186,I00108,A14,1
187,I00109,A14,1
188,I00109,A17,1
189,I00109,A01,1
190,I00110,A01,1
191,I00110,A10,1
192,I00110,A14,1
193,I00110,A17,1
194,I00110,A02,1
196,I00112,A01,1
197,I00112,A10,1
198,I00112,A14,1
199,I00113,A10,1
200,I00113,A05,1
201,I00113,A16,1
203,I00115,A10,1
204,I00116,A03,1
205,I00116,A02,1
206,I00116,A14,1
207,I00116,A10,1
208,I00116,A01,1
211,I00119,C40,1
214,I00122,A09,1
215,I00122,A14,1
216,I00122,A17,1
218,I00124,A02,1
219,I00124,A03,1
220,I00124,A10,1
221,I00124,A14,1
222,I00124,A17,1
223,I00125,A14,1
224,I00125,A17,1
229,I00129,A02,1
230,I00129,A04,1
231,I00129,A14,1
232,I00129,A17,1
233,I00129,A01,1
234,I00129,A09,1
235,I00130,A10,1
236,I00130,A14,1
237,I00130,A17,1
238,I00130,A02,1
239,I00131,A10,1
240,I00131,A14,1
241,I00131,A17,1
242,I00131,A02,1
243,I00132,A02,1
244,I00132,A14,1
245,I00132,A17,1
246,I00132,A04,1
247,I00133,A14,1
248,I00133,A17,1
249,I00133,A02,1
252,I00136,A01,1
253,I00136,A10,1
254,I00136,A14,1
255,I00136,A17,1
256,I00136,A16,1
257,I00136,A04,1
258,I00136,A02,1
259,I00137,,1
264,I00142,A14,1
265,I00142,A17,1
268,I00145,,1
269,I00146,A14,1
270,I00146,A17,1
276,I00152,,1
277,I00153,,1
279,I00155,,1
283,I00159,A05,1
284,I00159,A14,1
285,I00159,A04,1
286,I00159,A17,1
287,I00159,A02,1
288,I00159,A19,1
289,I00160,A10,1
290,I00160,A14,1
291,I00160,A17,1
292,I00160,A05,1
293,I00160,A16,1
294,I00160,A04,1
295,I00160,A09,1
297,I00162,,1
298,I00163,,1
301,I00166,A17,1
303,I00168,A17,1
304,I00169,A14,1
305,I00170,A10,1
306,I00170,A14,1
307,I00170,A17,1
308,I00170,A03,1
309,I00170,A04,1
310,I00170,A02,1
312,I00172,A17,1
313,I00172,A14,1
314,I00173,A14,1
315,I00173,A17,1
316,I00174,A01,1
317,I00175,C08,1
318,I00176,C08,1
319,I00176,C09,1
320,I00177,C08,1
321,I00178,A17,1
322,I00178,A14,1
323,I00178,A03,1
324,I00178,A01,1
325,I00179,A17,1
326,I00179,A03,1
327,I00179,A01,1
328,I00179,A14,1
329,I00179,A02,1
330,I00179,A10,1
331,I00179,A09,1
332,I00180,A01,1
333,I00180,A14,1
334,I00180,A17,1
335,I00180,A09,1
336,I00181,A17,1
337,I00182,A14,1
338,I00182,A17,1
339,I00182,A01,1
340,I00182,A10,1
341,I00183,A17,1
344,I00185,A14,1
345,I00185,A17,1
346,I00186,C08,1
347,I00187,A02,1
348,I00187,A14,1
349,I00187,A17,1
350,I00187,A09,1
351,I00188,C08,1
353,I00190,A10,1
355,I00192,A14,1
356,I00192,A17,1
357,I00192,A10,1
358,I00192,A02,1
359,I00192,A04,1
360,I00192,A16,1
361,I00192,A09,1
362,I00193,A14,1
363,I00193,A17,1
364,I00193,A10,1
365,I00193,A02,1
366,I00193,A04,1
367,I00193,A16,1
368,I00193,A09,1
371,I00196,A14,1
372,I00196,A17,1
374,I00198,A05,1
375,I00199,A14,1
376,I00199,A17,1
377,I00199,A02,1
378,I00199,A04,1
379,I00199,A09,1
385,I00205,A07,1
387,I00207,A14,1
388,I00207,A17,1
389,I00208,A05,1
390,I00209,A05,1
391,I00210,,1
392,I00211,A14,1
393,I00211,A17,1
397,I00215,A14,1
398,I00216,A14,1
399,I00216,A17,1
400,I00216,A06,1
401,I00216,A07,1
402,I00216,A02,1
403,I00216,A10,1
404,I00216,A09,1
408,I00220,,1
413,I00225,A19,1
414,I00226,A17,1
438,I00250,A18,1
439,I00250,A17,1
449,I00260,A17,1
463,I00273,A14,1
464,I00273,A01,1
469,I00278,A17,1
470,I00278,A10,1
471,I00278,A14,1
472,I00278,A02,1
473,I00278,A03,1
476,I00281,,1
487,I00292,A17,1
